ID,group,size,ranked_size,max_larvae,max_wasps,death
6,c,8117.938,21,0,0,
8,c,7281.835,16,0,0,
10,c,847.5303,3,0,0,
11,c,11581.16,24,0,0,
12,c,8177.475,22,0,0,
13,c,7813.516,19,0,0,
14,c,7553.184,17,0,0,
15,c,6692.695,15,0,0,
16,c,3601.456,11,0,0,
17,c,8248.31,23,0,0,
18,c,6208.829,14,0,0,
19,c,8022.993,20,0,0,
20,c,7725.874,18,0,0,
21,c,5771.688,12,0,0,
22,c,6204.64,13,0,0,
23,c,1175.308,6,0,0,
1,i,1422.423,7,75,65,10
2,i,2909.475,10,144,65,79
3,i,2253.109,9,84,21,63
4,i,169.1388,1,10,7,3
5,i,1918.297,8,64,7,57
7,i,248.0364,2,76,0,76
9,i,914.9776,5,42,28,14
24,i,855.2979,4,34,0,34
